sensitivity,day_of_week,percentage
Just burn and not tan,Monday,24.4
Just burn and not tan,Tuesday,26.4
Just burn and not tan,Wednesday,26.8
Just burn and not tan,Thursday,27.0
Just burn and not tan,Friday,27.3
Just burn and not tan,Saturday,33.7
Just burn and not tan,Sunday,32.5
Burn first then tan afterwards,Monday,28.6
Burn first then tan afterwards,Tuesday,29.1
Burn first then tan afterwards,Wednesday,30.5
Burn first then tan afterwards,Thursday,31.1
Burn first then tan afterwards,Friday,30.8
Burn first then tan afterwards,Saturday,39.4
Burn first then tan afterwards,Sunday,36.6
"Not burn at all, just tan",Monday,33.5
"Not burn at all, just tan",Tuesday,36.1
"Not burn at all, just tan",Wednesday,36.9
"Not burn at all, just tan",Thursday,35.7
"Not burn at all, just tan",Friday,35.6
"Not burn at all, just tan",Saturday,40.3
"Not burn at all, just tan",Sunday,35.9
Nothing would happen,Monday,24.3
Nothing would happen,Tuesday,26.2
Nothing would happen,Wednesday,28.8
Nothing would happen,Thursday,26.3
Nothing would happen,Friday,26.8
Nothing would happen,Saturday,28.6
Nothing would happen,Sunday,27.2
