state,day_of_week,count
New South Wales,Monday,1921.20
New South Wales,Tuesday,1920.70
New South Wales,Wednesday,2102.40
New South Wales,Thursday,2024.50
New South Wales,Friday,2019.80
New South Wales,Saturday,2554.90
New South Wales,Sunday,2300.90
Victoria,Monday,1614.80
Victoria,Tuesday,1726.50
Victoria,Wednesday,1682.60
Victoria,Thursday,1702.40
Victoria,Friday,1709.70
Victoria,Saturday,1969.80
Victoria,Sunday,1819.20
Queensland,Monday,1173.90
Queensland,Tuesday,1305.20
Queensland,Wednesday,1307.90
Queensland,Thursday,1305.30
Queensland,Friday,1298.90
Queensland,Saturday,1520.90
Queensland,Sunday,1429.10
South Australia,Monday,487.60
South Australia,Tuesday,504.20
South Australia,Wednesday,534.40
South Australia,Thursday,524.90
South Australia,Friday,538.30
South Australia,Saturday,580.90
South Australia,Sunday,552.70
Western Australia,Monday,588.40
Western Australia,Tuesday,672.10
Western Australia,Wednesday,710.90
Western Australia,Thursday,684.20
Western Australia,Friday,693.60
Western Australia,Saturday,880.60
Western Australia,Sunday,820.30
Tasmania,Monday,213.80
Tasmania,Tuesday,221.20
Tasmania,Wednesday,222.90
Tasmania,Thursday,217.20
Tasmania,Friday,225.10
Tasmania,Saturday,252.50
Tasmania,Sunday,236.80
Northern Territory,Monday,40.40
Northern Territory,Tuesday,50.20
Northern Territory,Wednesday,45.10
Northern Territory,Thursday,53.50
Northern Territory,Friday,45.10
Northern Territory,Saturday,55.20
Northern Territory,Sunday,44.30
Australian Capital Territory,Monday,124.50
Australian Capital Territory,Tuesday,142.50
Australian Capital Territory,Wednesday,149.20
Australian Capital Territory,Thursday,154.00
Australian Capital Territory,Friday,149.70
Australian Capital Territory,Saturday,181.30
Australian Capital Territory,Sunday,183.00
